ApplicationId,reports,income,active,expenditure
0,0,4.52,12,124.9833
1,0,2.42,13,9.854167
2,0,4.5,5,15
3,0,2.54,7,137.8692
4,0,9.7867,5,546.5033
1388,0,2.5,1,91.99667
6,0,3.96,5,40.83333
7,0,2.37,3,150.79
8,0,3.8,6,777.8217
9,0,3.2,18,52.58
10,0,3.95,20,256.6642
11,0,1.98,0,0
12,0,1.73,12,0
13,0,2.45,3,78.87417
14,0,1.908,5,42.615
15,0,3.2,22,335.435
16,0,4,0,248.7192
17,7,3,8,0
18,0,9.9999,0,548.035
19,3,3.4,10,0
20,0,2.35,1,43.33917
21,1,1.875,2,0
22,0,2,0,218.52
23,1,4,22,170.6408
24,0,5.14,17,37.58333
25,0,4.506,7,502.2017
26,0,3.84,1,0
27,0,1.5,6,73.17667
28,0,2.5,0,0
29,0,5.5,19,1532.773
30,0,2.0272,5,42.69083
31,1,3.2,6,417.835
32,1,3.15,5,0
33,0,2.4663,10,552.7242
34,0,3,5,222.5392
35,0,3.5412,15,541.2958
36,0,2.2845,0,0
37,0,5.7,16,568.7742
38,0,3.5,14,344.4708
39,0,4.6,13,405.3517
40,0,3,10,310.9375
41,0,2.585,1,53.645
42,0,1.51,1,63.91667
43,0,1.85,12,165.855
44,0,2.6,1,9.583333
45,0,1.8,2,0
46,0,2,4,319.49
47,0,3.2628,1,0
48,0,2.35,2,83.08334
49,0,7,13,644.8283
50,0,3.6,0,0
51,0,2,12,93.1975
52,0,1.7,4,105.045
1351,0,2.8,8,34.125
54,0,2.4,2,41.18917
55,1,3,5,169.8883
56,0,4.8,1,1898.033
57,0,3.18,3,810.3917
58,0,1.8,0,0
59,0,1.5,4,32.775
60,2,3,4,95.79916
61,0,2.28,5,27.78
62,0,2.8,16,215.0692
63,0,2.7,0,79.51083
64,3,4.9,15,0
65,0,2.5,0,0
66,0,6,16,306.0317
67,0,3.9,2,104.5358
1349,0,5.1,0,0
69,0,3.074,0,642.4742
70,0,2.4585,16,308.0492
71,0,2,5,186.3533
72,0,3.248,2,56.14917
73,0,2.725,14,129.3733
74,0,2.2,10,93.10667
75,1,4.1,4,0
76,0,3.75,11,292.6633
77,0,2.88,0,98.46416
78,0,3.05,5,258.5492
79,0,2.55,18,101.6833
80,0,4,0,0
1324,1,2.64,19,65.24667
82,0,1.65,8,108.6075
83,0,2.4,4,49.55583
84,3,3.7099,11,0
85,0,7.24,13,235.5717
86,0,4.386,9,0
87,0,3.3,18,0
88,0,2.304,0,0
89,1,4.18,2,0
90,2,2.4875,3,0
91,0,2.8055,0,0
92,0,2.4,0,68.38417
93,4,1.5,9,0
94,2,8.4,12,0
95,0,1.56,2,0
96,1,6,6,474.15
97,1,3.6,4,234.0483
98,0,5,16,451.205
99,0,5.5,7,251.5208
100,1,9.9999,29,917.54
101,0,4.55,15,0
102,0,2.9,3,0
103,0,1.8,9,147.7233
104,0,4.2,0,166.7267
